8-QAM,,32-QAM,,128-QAM,,OFDM,,LTE
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 + 0.223606797749979i,,-0.110431526074847 - 0.993883734673619i,,-0.110431526074847 - 0.993883734673619i,,0.00113442234184555 - 0.0286867495860966i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,0.331294578224540 - 0.773020682523926i,,0.331294578224540 - 0.773020682523926i,,0.0107527767236752 - 0.0433850809673522i
1.22474487139159 - 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,-0.331294578224540 - 0.331294578224540i,,-0.331294578224540 - 0.331294578224540i,,0.0436107473041187 + 0.00557204660296427i
-1.22474487139159 + 0.408248290463863i,,0.670820393249937 + 0.223606797749979i,,0.331294578224540 - 0.993883734673619i,,0.331294578224540 - 0.993883734673619i,,0.00375350586569777 - 0.00199847202788080i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,0.773020682523926 + 1.21474678682331i,,0.773020682523926 + 1.21474678682331i,,-0.0279796333568873 - 0.0174225282017186i
1.22474487139159 - 0.408248290463863i,,0.670820393249937 + 0.670820393249937i,,0.993883734673619 - 0.331294578224540i,,0.993883734673619 - 0.331294578224540i,,-0.0244926396186304 - 0.00370012314210898i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,-0.331294578224540 - 0.993883734673619i,,-0.331294578224540 - 0.993883734673619i,,-0.0212309690233716 + 0.0127215660601624i
1.22474487139159 - 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,-0.552157630374233 + 0.552157630374233i,,-0.552157630374233 + 0.552157630374233i,,0.0199505762869044 + 0.0167344461319727i
-1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,-1.21474678682331 - 0.773020682523926i,,-1.21474678682331 - 0.773020682523926i,,0.0137537284739959 + 0.0112737438810727i
0.408248290463863 + 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,-0.552157630374233 + 0.110431526074847i,,-0.552157630374233 + 0.110431526074847i,,-0.0485298748599653 + 0.0243114166715191i
-1.22474487139159 - 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,-1.21474678682331 + 0.552157630374233i,,-1.21474678682331 + 0.552157630374233i,,-0.0123951854821955 + 0.0140642596759544i
-1.22474487139159 + 0.408248290463863i,,0.670820393249937 + 0.223606797749979i,,-0.331294578224540 + 1.21474678682331i,,-0.331294578224540 + 1.21474678682331i,,0.0314378956743515 - 0.0326171526333903i
-1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,-0.331294578224540 - 0.331294578224540i,,-0.331294578224540 - 0.331294578224540i,,0.00294480871979778 - 0.0133033388192975i
1.22474487139159 + 0.408248290463863i,,0.670820393249937 - 1.11803398874990i,,0.773020682523926 + 0.110431526074847i,,0.773020682523926 + 0.110431526074847i,,0.0444919568285218 + 0.0395267802209309i
1.22474487139159 + 0.408248290463863i,,1.11803398874990 + 0.223606797749979i,,-0.110431526074847 + 1.21474678682331i,,-0.110431526074847 + 1.21474678682331i,,0.0718155324642587 + 0.0331456303681194i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,-0.993883734673619 - 0.110431526074847i,,-0.993883734673619 - 0.110431526074847i,,-0.00766520709251766 + 0.0277492812551914i
0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,-0.331294578224540 - 0.773020682523926i,,-0.331294578224540 - 0.773020682523926i,,-0.0266358548734984 + 0.0346436895492635i
-1.22474487139159 - 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,1.21474678682331 + 0.331294578224540i,,1.21474678682331 + 0.331294578224540i,,0.00537595559875372 + 0.0111898152596087i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,0.993883734673619 - 0.552157630374233i,,0.993883734673619 - 0.552157630374233i,,-0.00284556485960370 - 0.00485665019734150i
-1.22474487139159 - 0.408248290463863i,,0.223606797749979 + 0.670820393249937i,,0.110431526074847 + 1.21474678682331i,,0.110431526074847 + 1.21474678682331i,,0.0208664802835795 - 0.0113029268791294i
0.408248290463863 + 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,-0.552157630374233 - 0.110431526074847i,,-0.552157630374233 - 0.110431526074847i,,0.0350328544906226 - 0.0152327235656974i
0.408248290463863 + 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,-0.993883734673619 + 0.110431526074847i,,-0.993883734673619 + 0.110431526074847i,,-0.0157193262713031 - 0.00816016698040947i
0.408248290463863 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,-1.21474678682331 - 0.110431526074847i,,-1.21474678682331 - 0.110431526074847i,,-0.0360536121309907 - 0.0100688276406165i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,-1.21474678682331 + 0.552157630374233i,,-1.21474678682331 + 0.552157630374233i,,-0.0176139663730889 + 0.0158831515069535i
0.408248290463863 + 0.408248290463863i,,0.223606797749979 + 0.670820393249937i,,-0.773020682523926 - 0.993883734673619i,,-0.773020682523926 - 0.993883734673619i,,-0.0211433588071793 + 0.0427427627221090i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,0.552157630374233 - 1.21474678682331i,,0.552157630374233 - 1.21474678682331i,,-0.0401873632576222 - 0.00251734550109051i
1.22474487139159 - 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,0.552157630374233 + 0.110431526074847i,,0.552157630374233 + 0.110431526074847i,,-0.0353581528864078 - 0.0126318322269203i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,-0.110431526074847 + 0.331294578224540i,,-0.110431526074847 + 0.331294578224540i,,0.0151007911923569 + 0.0400735097197555i
0.408248290463863 + 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,0.110431526074847 - 0.331294578224540i,,0.110431526074847 - 0.331294578224540i,,0.0484150615811582 + 0.0313156218872088i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,0.773020682523926 + 0.993883734673619i,,0.773020682523926 + 0.993883734673619i,,0.0401313752585083 + 0.0153946743669339i
0.408248290463863 + 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,-0.331294578224540 - 1.21474678682331i,,-0.331294578224540 - 1.21474678682331i,,0.0573427298477406 + 0.0266527742437831i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,0.110431526074847 - 0.993883734673619i,,0.110431526074847 - 0.993883734673619i,,0.0525643395876942 - 0.0108963251864894i
-1.22474487139159 - 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,-0.331294578224540 + 0.331294578224540i,,-0.331294578224540 + 0.331294578224540i,,0.00354826048838233 - 0.0271338393254089i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,0.773020682523926 + 0.331294578224540i,,0.773020682523926 + 0.331294578224540i,,0.0256377985283033 - 0.0177134654530749i
0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,0.552157630374233 - 1.21474678682331i,,0.552157630374233 - 1.21474678682331i,,0.0755317611600000 - 0.0514495859214636i
0.408248290463863 - 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,-0.773020682523926 + 0.110431526074847i,,-0.773020682523926 + 0.110431526074847i,,0.0586891510745781 - 0.0358824986677680i
-0.408248290463863 + 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,-0.773020682523926 - 1.21474678682331i,,-0.773020682523926 - 1.21474678682331i,,0.0448773252879463 + 0.0167720423153488i
0.408248290463863 - 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,-0.993883734673619 - 0.110431526074847i,,-0.993883734673619 - 0.110431526074847i,,0.0438299843687791 + 0.0103456822969558i
-0.408248290463863 + 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,-0.773020682523926 - 0.552157630374233i,,-0.773020682523926 - 0.552157630374233i,,0.0161932043825049 + 0.00801356709063954i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,0.993883734673619 - 0.331294578224540i,,0.993883734673619 - 0.331294578224540i,,0.00871093328313889 + 0.0177873220834114i
0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 0.223606797749979i,,0.773020682523926 + 0.993883734673619i,,0.773020682523926 + 0.993883734673619i,,0.0234953596157171 + 0.0128364963675458i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,0.331294578224540 - 0.331294578224540i,,0.331294578224540 - 0.331294578224540i,,0.0277125593456764 + 0.0292169437392402i
1.22474487139159 + 0.408248290463863i,,1.11803398874990 + 0.223606797749979i,,-0.773020682523926 - 0.552157630374233i,,-0.773020682523926 - 0.552157630374233i,,0.0217435418667785 + 0.00732502878921441i
0.408248290463863 - 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,0.110431526074847 - 0.331294578224540i,,0.110431526074847 - 0.331294578224540i,,0.0134113740706182 - 0.0215357552706846i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,0.773020682523926 - 0.552157630374233i,,0.773020682523926 - 0.552157630374233i,,0.0190996854823563 + 0.0377726681040033i
0.408248290463863 + 0.408248290463863i,,-0.670820393249937 - 0.670820393249937i,,1.21474678682331 - 0.331294578224540i,,1.21474678682331 - 0.331294578224540i,,0.00814600496066406 + 0.0628923881776839i
0.408248290463863 + 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,-0.110431526074847 - 0.773020682523926i,,-0.110431526074847 - 0.773020682523926i,,-0.0294356793200498 + 0.0236337989519303i
-0.408248290463863 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,-0.552157630374233 - 1.21474678682331i,,-0.552157630374233 - 1.21474678682331i,,-0.0283603179453972 + 0.0331051725849991i
0.408248290463863 - 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,0.993883734673619 + 0.331294578224540i,,0.993883734673619 + 0.331294578224540i,,-0.00926422662983057 + 0.0173724684098838i
1.22474487139159 - 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,-0.552157630374233 - 1.21474678682331i,,-0.552157630374233 - 1.21474678682331i,,0.000701895058838647 - 0.0300032274037437i
1.22474487139159 - 0.408248290463863i,,1.11803398874990 + 0.223606797749979i,,0.331294578224540 + 0.110431526074847i,,0.331294578224540 + 0.110431526074847i,,0.0404300720760677 - 0.00533583614592159i
-1.22474487139159 - 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,-0.552157630374233 - 1.21474678682331i,,-0.552157630374233 - 1.21474678682331i,,0.0404519708036377 + 0.00232636758757889i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,0.331294578224540 - 0.773020682523926i,,0.331294578224540 - 0.773020682523926i,,-0.00967372430211688 - 0.0383370011714171i
-1.22474487139159 - 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,-0.773020682523926 - 0.993883734673619i,,-0.773020682523926 - 0.993883734673619i,,-0.00122421977624137 - 0.0343001276994764i
0.408248290463863 - 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,0.552157630374233 - 0.993883734673619i,,0.552157630374233 - 0.993883734673619i,,0.00758782822216019 - 0.0300633521529220i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,-0.110431526074847 + 0.331294578224540i,,-0.110431526074847 + 0.331294578224540i,,-0.0269114724044399 - 0.0282291063120542i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 + 0.670820393249937i,,1.21474678682331 - 0.552157630374233i,,1.21474678682331 - 0.552157630374233i,,-0.00845826186705522 + 0.0282862102553437i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,-0.773020682523926 + 0.773020682523926i,,-0.773020682523926 + 0.773020682523926i,,0.0172273995453008 + 0.0435970390543104i
-0.408248290463863 - 0.408248290463863i,,0.670820393249937 + 0.223606797749979i,,-0.552157630374233 - 0.993883734673619i,,-0.552157630374233 - 0.993883734673619i,,-0.00124433390378370 - 0.0117697313563147i
1.22474487139159 - 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,-0.110431526074847 - 0.552157630374233i,,-0.110431526074847 - 0.552157630374233i,,0.000656217953072252 - 0.0266627038058266i
1.22474487139159 + 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,0.331294578224540 - 0.993883734673619i,,0.331294578224540 - 0.993883734673619i,,0.00284370660951321 - 0.0118083304590053i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,-0.773020682523926 + 0.331294578224540i,,-0.773020682523926 + 0.331294578224540i,,-0.00221610577551469 - 0.0274855633844369i
-1.22474487139159 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,0.110431526074847 - 0.110431526074847i,,0.110431526074847 - 0.110431526074847i,,0.00765028914041362 - 0.0242087531681576i
1.22474487139159 - 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,0.331294578224540 - 0.993883734673619i,,0.331294578224540 - 0.993883734673619i,,-0.0156857623728127 + 0.00920908640105080i
1.22474487139159 + 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,-0.552157630374233 + 0.773020682523926i,,-0.552157630374233 + 0.773020682523926i,,-0.0315122363745962 + 0.00652736814116792i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,-0.773020682523926 + 0.993883734673619i,,-0.773020682523926 + 0.993883734673619i,,-0.0107252094347850 - 0.00726744871366823i
0.408248290463863 - 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,-0.331294578224540 + 0.773020682523926i,,-0.331294578224540 + 0.773020682523926i,,-0.0240910313208722 + 0.0116156282295194i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,0.773020682523926 + 0.552157630374233i,,0.773020682523926 + 0.552157630374233i,,-0.0236315524531644 - 0.00282198697040449i
-1.22474487139159 - 0.408248290463863i,,-0.670820393249937 - 0.223606797749979i,,0.331294578224540 - 1.21474678682331i,,0.331294578224540 - 1.21474678682331i,,0.00447226642306968 - 0.0288934125250864i
-1.22474487139159 - 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,0.331294578224540 - 1.21474678682331i,,0.331294578224540 - 1.21474678682331i,,-0.0236069068085531 + 0.0211408428600990i
-1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,-0.331294578224540 - 0.552157630374233i,,-0.331294578224540 - 0.552157630374233i,,-0.0269095201014902 + 0.0411401250592563i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 + 0.670820393249937i,,0.773020682523926 - 0.110431526074847i,,0.773020682523926 - 0.110431526074847i,,0.0241314760190053 - 0.0173709725954197i
0.408248290463863 - 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,-0.552157630374233 + 0.331294578224540i,,-0.552157630374233 + 0.331294578224540i,,0.0154664945694439 - 0.0135786853278934i
0.408248290463863 - 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,-0.110431526074847 + 0.110431526074847i,,-0.110431526074847 + 0.110431526074847i,,-0.00634201710229601 + 0.000158018246865245i
1.22474487139159 - 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,-0.552157630374233 + 0.110431526074847i,,-0.552157630374233 + 0.110431526074847i,,0.00109292013121384 - 0.0556314842268301i
-0.408248290463863 + 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,-0.552157630374233 + 1.21474678682331i,,-0.552157630374233 + 1.21474678682331i,,-0.0146051704717710 - 0.0415476334511980i
-1.22474487139159 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,-0.773020682523926 + 1.21474678682331i,,-0.773020682523926 + 1.21474678682331i,,0.00560726079639571 + 0.00464103697855188i
1.22474487139159 + 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,0.993883734673619 + 0.331294578224540i,,0.993883734673619 + 0.331294578224540i,,0.0370418980693638 - 0.0329849243691576i
1.22474487139159 - 0.408248290463863i,,-0.670820393249937 - 0.223606797749979i,,0.552157630374233 + 0.773020682523926i,,0.552157630374233 + 0.773020682523926i,,3.46944695195361e-18 - 0.0220970869120796i
0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,-0.331294578224540 + 0.552157630374233i,,-0.331294578224540 + 0.552157630374233i,,-0.00104828167170089 + 0.0370141332820636i
1.22474487139159 - 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,-0.552157630374233 + 0.993883734673619i,,-0.552157630374233 + 0.993883734673619i,,0.0252106241520881 + 0.00564257336774619i
1.22474487139159 - 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,0.110431526074847 - 1.21474678682331i,,0.110431526074847 - 1.21474678682331i,,-0.0260392485821849 - 0.0242787326504072i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,0.331294578224540 - 0.110431526074847i,,0.331294578224540 - 0.110431526074847i,,-0.0347125919880413 + 0.000491313179005975i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,-0.552157630374233 + 0.552157630374233i,,-0.552157630374233 + 0.552157630374233i,,0.0190985668476404 - 0.00985932592672054i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,0.773020682523926 - 1.21474678682331i,,0.773020682523926 - 1.21474678682331i,,-0.00576350301879070 - 0.0143973421245484i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,-0.110431526074847 - 0.110431526074847i,,-0.110431526074847 - 0.110431526074847i,,-0.0212492379517328 + 0.0182882060841890i
-0.408248290463863 - 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,-1.21474678682331 + 0.552157630374233i,,-1.21474678682331 + 0.552157630374233i,,0.0209868513747948 + 0.0387496675729826i
1.22474487139159 - 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,0.331294578224540 + 1.21474678682331i,,0.331294578224540 + 1.21474678682331i,,-0.0177917062625360 + 0.0546770577039961i
